	timeid	src	dst	delay	packetloss	link_usage	free_bandwidth
0	0	5	7		1.0	0.0	0.0
1	0	5	6		2.0	0.0	0.0
2	0	1	4		3.0	0.0	0.0
3	0	1	7		4.0	0.0	0.0
4	0	20	19		4.0	0.0	0.0
5	0	19	20		4.0	0.0	0.0
6	0	6	9		2.0	0.0	0.0
7	0	6	5		2.0	0.0	0.0
8	0	4	3		4.0	0.0	0.0
9	0	4	1		3.0	0.0	0.0
10	0	8	2		0.0	0.0	0.0
11	0	9	6		2.0	0.0	0.0
12	0	3	4		4.0	0.0	0.0
13	0	2	8		0.0	0.0	0.0
14	0	7	5		1.0	0.0	0.0
15	0	7	1		4.0	0.0	0.0
16	1	5	7	10.9175443649292	1.0	0.0	0.0
17	1	5	6		2.0	0.0	0.0
18	1	1	4		3.0	0.0	0.0
19	1	1	7		4.0	0.0	0.0
20	1	20	19		4.0	0.0	0.0
21	1	19	20		4.0	0.0	0.0
22	1	6	9		2.0	0.0	0.0
23	1	6	5		2.0	0.0	0.0
24	1	4	3		4.0	0.0	0.0
25	1	4	1		3.0	0.0	0.0
26	1	8	2		0.0	0.0	0.0
27	1	9	6		2.0	0.0	0.0
28	1	3	4		4.0	0.0	0.0
29	1	2	8		0.0	0.0	0.0
30	1	7	5		1.0	0.0	0.0
31	1	7	1		4.0	0.0	0.0
32	2	5	7	15.466928482055664	1.0	0.00031989336887704097	0.00032978697822375356
33	2	5	6	24.310946464538574	2.0	0.0003198933688770409	0.0005421921506390524
34	2	1	4	44.5479154586792	3.0	0.0015882744836775483	0.0018685582160912332
35	2	1	7	43.457984924316406	4.0	0.00031989336887704097	0.00032978697822375356
36	2	20	19	23.57637882232666	4.0	0.001401732178547635	0.0018689762380635134
37	2	19	20	23.57637882232666	4.0	0.001401732178547635	0.0018689762380635134
38	2	6	9	7.4034929275512695	2.0	0.00015994668443852048	0.00016661112962345885
39	2	6	5	24.310946464538574	2.0	0.0003198933688770409	0.0005421921506390524
40	2	4	3	26.97312831878662	4.0	0.0005331556147950684	0.000627241899758904
41	2	4	1	44.5479154586792	3.0	0.0015882744836775483	0.0018685582160912332
42	2	8	2	25.773167610168457	0.0	0.0006931022992335888	0.0011001623797358552
43	2	9	6	7.4034929275512695	2.0	0.00015994668443852048	0.00016661112962345885
44	2	3	4	26.97312831878662	4.0	0.0005331556147950684	0.000627241899758904
45	2	2	8	25.773167610168457	0.0	0.0006931022992335888	0.0011001623797358552
46	2	7	5	15.466928482055664	1.0	0.00031989336887704097	0.00032978697822375356
47	2	7	1	43.457984924316406	4.0	0.00031989336887704097	0.00032978697822375356
48	3	5	7	12.910604476928711	1.0	0.0005331556147950683	0.0005496449637062559
49	3	5	6	28.870344161987305	2.0	0.0005331556147950683	0.0009036535843984207
50	3	1	4	43.91515254974365	3.0	0.00015994668443852046	0.00018817256992767112
51	3	1	7	42.76454448699951	4.0	0.0010819453697534977	0.0011154075976840183
52	3	20	19	21.932244300842285	4.0	0.0003198933688770409	0.00042652449183605453
53	3	19	20	21.932244300842285	4.0	0.0003198933688770409	0.00042652449183605453
54	3	6	9	14.994025230407715	2.0	0.0006931022992335888	0.0007219815617016549
55	3	6	5	28.870344161987305	2.0	0.0005331556147950683	0.0009036535843984207
56	3	4	3	25.812864303588867	4.0	0.0014021992669110295	0.0016496461963659173
57	3	4	1	43.91515254974365	3.0	0.00015994668443852046	0.00018817256992767112
58	3	8	2	24.61683750152588	0.0	0.00140219926691103	0.002225713122081
59	3	9	6	14.994025230407715	2.0	0.0006931022992335888	0.0007219815617016549
60	3	3	4	25.812864303588867	4.0	0.0014021992669110295	0.0016496461963659173
61	3	2	8	24.61683750152588	0.0	0.00140219926691103	0.002225713122081
62	3	7	5	12.910604476928711	1.0	0.0005331556147950683	0.0005496449637062559
63	3	7	1	42.76454448699951	4.0	0.0010819453697534977	0.0011154075976840183
64	4	5	7	12.910604476928711	1.0	0.0014026666666666666	0.0014460481099656357
65	4	5	6	28.870344161987305	2.0	0.0012426666666666667	0.0021062146892655365
66	4	1	4	43.91515254974365	3.0	0.000319893368877041	0.0003763451398553424
67	4	1	7	42.76454448699951	4.0	0.00032	0.0003298969072164949
68	4	20	19	21.932244300842285	4.0	0.0005333333333333334	0.0007111111111111111
69	4	19	20	21.932244300842285	4.0	0.0005333333333333334	0.0007111111111111111
70	4	6	9	14.994025230407715	2.0	0.0014031343781260419	0.0014615983105479603
71	4	6	5	28.870344161987305	2.0	0.0012426666666666667	0.0021062146892655365
72	4	4	3	25.812864303588867	4.0	0.0001599466844385205	0.0001881725699276712
73	4	4	1	43.91515254974365	3.0	0.000319893368877041	0.0003763451398553424
74	4	8	2	24.61683750152588	0.0	0.00015978695073235686	0.0002536300805275506
75	4	9	6	14.994025230407715	2.0	0.0014031343781260419	0.0014615983105479603
76	4	3	4	25.812864303588867	4.0	0.0001599466844385205	0.0001881725699276712
77	4	2	8	24.61683750152588	0.0	0.00015978695073235686	0.0002536300805275506
78	4	7	5	12.910604476928711	1.0	0.0014026666666666666	0.0014460481099656357
79	4	7	1	42.76454448699951	4.0	0.00032	0.0003298969072164949
80	5	5	7	13.015031814575195	1.0	0.00015994668443852043	0.00016489348911187673
81	5	5	6	28.86974811553955	2.0	0.0003196803196803197	0.0005418310503056266
82	5	1	4	43.56503486633301	3.0	0.0003196803196803197	0.0003760944937415526
83	5	1	7	42.78767108917236	4.0	0.0001598934043970686	0.00016483856123409134
84	5	20	19	21.626710891723633	4.0	0.0010815850815850821	0.001442113442113443
85	5	19	20	21.626710891723633	4.0	0.0010815850815850821	0.001442113442113443
86	5	6	9	14.725685119628906	2.0	0.00015984015984015984	0.0001665001665001665
87	5	6	5	28.86974811553955	2.0	0.0003196803196803197	0.0005418310503056266
88	5	4	3	25.618314743041992	4.0	0.00031989336887704086	0.0003763451398553422
89	5	4	1	43.56503486633301	3.0	0.0003196803196803197	0.0003760944937415526
90	5	8	2	24.638056755065918	0.0	0.0003196803196803197	0.0005074290788576503
91	5	9	6	14.725685119628906	2.0	0.00015984015984015984	0.0001665001665001665
92	5	3	4	25.618314743041992	4.0	0.00031989336887704086	0.0003763451398553422
93	5	2	8	24.638056755065918	0.0	0.0003196803196803197	0.0005074290788576503
94	5	7	5	13.015031814575195	1.0	0.00015994668443852043	0.00016489348911187673
95	5	7	1	42.78767108917236	4.0	0.0001598934043970686	0.00016483856123409134
96	6	5	7	12.837767601013184	1.0	0.00015994668443852043	0.00016489348911187673
97	6	5	6	28.998613357543945	2.0	0.00031989336887704086	0.0005421921506390524
98	6	1	4	43.63095760345459	3.0	0.0	0.0
99	6	1	7	42.78409481048584	4.0	0.000693102299233589	0.000714538452818133
100	6	20	19	21.746158599853516	4.0	0.00031989336887704086	0.0004265244918360545
101	6	19	20	21.746158599853516	4.0	0.00031989336887704086	0.0004265244918360545
102	6	6	9	14.756321907043457	2.0	0.00031989336887704086	0.00033322225924691754
103	6	6	5	28.998613357543945	2.0	0.00031989336887704086	0.0005421921506390524
104	6	4	3	25.51853656768799	4.0	0.000319893368877041	0.0003763451398553424
105	6	4	1	43.63095760345459	3.0	0.0	0.0
106	6	8	2	24.893641471862793	0.0	0.00015994668443852043	0.00025388362609288955
107	6	9	6	14.756321907043457	2.0	0.00031989336887704086	0.00033322225924691754
108	6	3	4	25.51853656768799	4.0	0.000319893368877041	0.0003763451398553424
109	6	2	8	24.893641471862793	0.0	0.00015994668443852043	0.00025388362609288955
110	6	7	5	12.837767601013184	1.0	0.00015994668443852043	0.00016489348911187673
111	6	7	1	42.78409481048584	4.0	0.000693102299233589	0.000714538452818133
112	7	5	7	12.910008430480957	1.0	0.00031978680879413737	0.00032967712246818285
113	7	5	6	28.689265251159668	2.0	0.00031978680879413737	0.0005420115403290464
114	7	1	4	43.84756088256836	3.0	0.0005063291139240509	0.0005956813104988835
115	7	1	7	42.97184944152832	4.0	0.00031978680879413693	0.0003296771224681824
116	7	20	19	21.64304256439209	4.0	0.00031989336887704086	0.0004265244918360545
117	7	19	20	21.64304256439209	4.0	0.00031989336887704086	0.0004265244918360545
118	7	6	9	14.786601066589355	2.0	0.00015994668443852043	0.00016661112962345877
119	7	6	5	28.689265251159668	2.0	0.00031978680879413737	0.0005420115403290464
120	7	4	3	25.815725326538086	4.0	0.0005063291139240502	0.0005956813104988827
121	7	4	1	43.84756088256836	3.0	0.0005063291139240509	0.0005956813104988835
122	7	8	2	24.785280227661133	0.0	0.0005064978340553147	0.0008039648159608169
123	7	9	6	14.786601066589355	2.0	0.00015994668443852043	0.00016661112962345877
124	7	3	4	25.815725326538086	4.0	0.0005063291139240502	0.0005956813104988827
125	7	2	8	24.785280227661133	0.0	0.0005064978340553147	0.0008039648159608169
126	7	7	5	12.910008430480957	1.0	0.00031978680879413737	0.00032967712246818285
127	7	7	1	42.97184944152832	4.0	0.00031978680879413693	0.0003296771224681824
128	8	5	7	12.910008430480957	1.0	0.00015994668443852043	0.00016489348911187673
129	8	5	6	28.689265251159668	2.0	0.0003464357095269821	0.0005871791686898003
130	8	1	4	43.84756088256836	3.0	0.001588803732089303	0.0018691808612815329
131	8	1	7	42.97184944152832	4.0	0.0012422525824725087	0.001280672765435576
132	8	20	19	21.64304256439209	4.0	0.00031978680879413737	0.0004263824117255165
133	8	19	20	21.64304256439209	4.0	0.00031978680879413737	0.0004263824117255165
134	8	6	9	14.786601066589355	2.0	0.00031978680879413693	0.0003331112591605593
135	8	6	5	28.689265251159668	2.0	0.0003464357095269821	0.0005871791686898003
136	8	4	3	25.815725326538086	4.0	0.0003464357095269821	0.0004075714229729201
137	8	4	1	43.84756088256836	3.0	0.001588803732089303	0.0018691808612815329
138	8	8	2	24.785280227661133	0.0	0.0014017321785476339	0.002224971711980371
139	8	9	6	14.786601066589355	2.0	0.00031978680879413693	0.0003331112591605593
140	8	3	4	25.815725326538086	4.0	0.0003464357095269821	0.0004075714229729201
141	8	2	8	24.785280227661133	0.0	0.0014017321785476339	0.002224971711980371
142	8	7	5	12.910008430480957	1.0	0.00015994668443852043	0.00016489348911187673
143	8	7	1	42.97184944152832	4.0	0.0012422525824725087	0.001280672765435576
144	9	5	7	13.010382652282715	1.0	0.0017730449251247926	0.0018278813661080336
145	9	5	6	29.001474380493164	2.0	0.001588803732089303	0.002692887681507293
146	9	1	4	44.04294490814209	3.0	0.00016	0.00018823529411764707
147	9	1	7	42.96696186065674	4.0	0.00015978695073235678	0.0001647288151879967
148	9	20	19	22.136688232421875	4.0	0.00032	0.00042666666666666667
149	9	19	20	22.136688232421875	4.0	0.00032	0.00042666666666666667
150	9	6	9	15.081405639648438	2.0	0.0015872170439414127	0.0016533510874389716
151	9	6	5	29.001474380493164	2.0	0.001588803732089303	0.002692887681507293
152	9	4	3	25.965452194213867	4.0	0.0014007989347536612	0.0016479987467690133
153	9	4	1	44.04294490814209	3.0	0.00016	0.00018823529411764707
154	9	8	2	25.226831436157227	0.0	0.0005068356118706237	0.0008045009712232122
155	9	9	6	15.081405639648438	2.0	0.0015872170439414127	0.0016533510874389716
156	9	3	4	25.965452194213867	4.0	0.0014007989347536612	0.0016479987467690133
157	9	2	8	25.226831436157227	0.0	0.0005068356118706237	0.0008045009712232122
158	9	7	5	13.010382652282715	1.0	0.0017730449251247926	0.0018278813661080336
159	9	7	1	42.96696186065674	4.0	0.00015978695073235678	0.0001647288151879967
160	10	5	7	12.58087158203125	1.0	0.00032	0.0003298969072164949
161	10	5	6	28.464436531066895	2.0	0.0001599466844385206	0.0002710960753195264
162	10	1	4	43.9295768737793	3.0	0.00031989336887704086	0.0003763451398553422
163	10	1	7	42.729973793029785	4.0	0.0003198933688770412	0.00032978697822375383
164	10	20	19	21.605849266052246	4.0	0.0014288570476507826	0.0019051427302010434
165	10	19	20	21.605849266052246	4.0	0.0014288570476507826	0.0019051427302010434
166	10	6	9	14.835357666015625	2.0	0.0003465511496167942	0.0003609907808508273
167	10	6	5	28.464436531066895	2.0	0.0001599466844385206	0.0002710960753195264
168	10	4	3	25.66850185394287	4.0	0.00015994668443852043	0.0001881725699276711
169	10	4	1	43.9295768737793	3.0	0.00031989336887704086	0.0003763451398553422
170	10	8	2	24.755358695983887	0.0	0.00015994668443852043	0.00025388362609288955
171	10	9	6	14.835357666015625	2.0	0.0003465511496167942	0.0003609907808508273
172	10	3	4	25.66850185394287	4.0	0.00015994668443852043	0.0001881725699276711
173	10	2	8	24.755358695983887	0.0	0.00015994668443852043	0.00025388362609288955
174	10	7	5	12.58087158203125	1.0	0.00032	0.0003298969072164949
175	10	7	1	42.729973793029785	4.0	0.0003198933688770412	0.00032978697822375383
176	11	5	7	12.761116027832031	1.0	0.00015989340439706868	0.00016483856123409142
177	11	5	6	28.768181800842285	2.0	0.00031978680879413693	0.0005420115403290456
178	11	1	4	43.951988220214844	3.0	0.00015984015984016003	0.0001880472468707765
179	11	1	7	42.928099632263184	4.0	0.0003196803196803193	0.00032956733987661785
180	11	20	19	21.667122840881348	4.0	0.00015984015984015984	0.00021312021312021312
181	11	19	20	21.667122840881348	4.0	0.00015984015984015984	0.00021312021312021312
182	11	6	9	14.618635177612305	2.0	0.00031978680879413737	0.00033311125916055974
183	11	6	5	28.768181800842285	2.0	0.00031978680879413693	0.0005420115403290456
184	11	4	3	25.535941123962402	4.0	0.00031978680879413693	0.0003762197750519258
185	11	4	1	43.951988220214844	3.0	0.00015984015984016003	0.0001880472468707765
186	11	8	2	24.994373321533203	0.0	0.00031978680879413737	0.0005075981091970434
187	11	9	6	14.618635177612305	2.0	0.00031978680879413737	0.00033311125916055974
188	11	3	4	25.535941123962402	4.0	0.00031978680879413693	0.0003762197750519258
189	11	2	8	24.994373321533203	0.0	0.00031978680879413737	0.0005075981091970434
190	11	7	5	12.761116027832031	1.0	0.00015989340439706868	0.00016483856123409142
191	11	7	1	42.928099632263184	4.0	0.0003196803196803193	0.00032956733987661785
192	12	5	7	12.761116027832031	1.0	0.0003198933688770412	0.00032978697822375383
193	12	5	6	28.768181800842285	2.0	0.0003198933688770405	0.0005421921506390516
194	12	1	4	43.951988220214844	3.0	0.0003198933688770405	0.00037634513985534176
195	12	1	7	42.928099632263184	4.0	0.0003198933688770412	0.00032978697822375383
196	12	20	19	21.667122840881348	4.0	0.0003198933688770412	0.00042652449183605486
197	12	19	20	21.667122840881348	4.0	0.0003198933688770412	0.00042652449183605486
198	12	6	9	14.618635177612305	2.0	0.00031978680879413693	0.0003331112591605593
199	12	6	5	28.768181800842285	2.0	0.0003198933688770405	0.0005421921506390516
200	12	4	3	25.535941123962402	4.0	0.0003198933688770405	0.00037634513985534176
201	12	4	1	43.951988220214844	3.0	0.0003198933688770405	0.00037634513985534176
202	12	8	2	24.994373321533203	0.0	0.00015994668443852024	0.0002538836260928893
203	12	9	6	14.618635177612305	2.0	0.00031978680879413693	0.0003331112591605593
204	12	3	4	25.535941123962402	4.0	0.0003198933688770405	0.00037634513985534176
205	12	2	8	24.994373321533203	0.0	0.00015994668443852024	0.0002538836260928893
206	12	7	5	12.761116027832031	1.0	0.0003198933688770412	0.00032978697822375383
207	12	7	1	42.928099632263184	4.0	0.0003198933688770412	0.00032978697822375383
208	13	5	7	12.569904327392578	1.0	0.0003198933688770405	0.0003297869782237531
209	13	5	6	28.676629066467285	2.0	0.0003198933688770412	0.0005421921506390528
210	13	1	4	43.727993965148926	3.0	0.00032	0.00037647058823529414
211	13	1	7	42.61958599090576	4.0	0.0003198933688770412	0.00032978697822375383
212	13	20	19	21.71647548675537	4.0	0.00032	0.00042666666666666667
213	13	19	20	21.71647548675537	4.0	0.00032	0.00042666666666666667
214	13	6	9	14.57822322845459	2.0	0.00016	0.0001666666666666667
215	13	6	5	28.676629066467285	2.0	0.0003198933688770412	0.0005421921506390528
216	13	4	3	25.483369827270508	4.0	0.0001599466844385206	0.0001881725699276713
217	13	4	1	43.727993965148926	3.0	0.00032	0.00037647058823529414
218	13	8	2	24.671435356140137	0.0	0.0003198933688770412	0.0005077672521857796
219	13	9	6	14.57822322845459	2.0	0.00016	0.0001666666666666667
220	13	3	4	25.483369827270508	4.0	0.0001599466844385206	0.0001881725699276713
221	13	2	8	24.671435356140137	0.0	0.0003198933688770412	0.0005077672521857796
222	13	7	5	12.569904327392578	1.0	0.0003198933688770405	0.0003297869782237531
223	13	7	1	42.61958599090576	4.0	0.0003198933688770412	0.00032978697822375383
224	14	5	7	12.533187866210938	1.0	0.0001597337770382694	0.00016467399694666948
225	14	5	6	28.52606773376465	2.0	0.0001599466844385206	0.0002710960753195264
226	14	1	4	43.845534324645996	3.0	0.00016	0.00018823529411764707
227	14	1	7	42.65439510345459	4.0	0.0001597337770382694	0.00016467399694666948
228	14	20	19	21.59273624420166	4.0	0.00032	0.00042666666666666667
229	14	19	20	21.59273624420166	4.0	0.00032	0.00042666666666666667
230	14	6	9	14.561057090759277	2.0	0.0003194675540765388	0.00033277870216306125
231	14	6	5	28.52606773376465	2.0	0.0001599466844385206	0.0002710960753195264
232	14	4	3	25.544166564941406	4.0	0.000319573901464714	0.00037596929584084
233	14	4	1	43.845534324645996	3.0	0.00016	0.00018823529411764707
234	14	8	2	24.568796157836914	0.0	0.00032	0.000507936507936508
235	14	9	6	14.561057090759277	2.0	0.0003194675540765388	0.00033277870216306125
236	14	3	4	25.544166564941406	4.0	0.000319573901464714	0.00037596929584084
237	14	2	8	24.568796157836914	0.0	0.00032	0.000507936507936508
238	14	7	5	12.533187866210938	1.0	0.0001597337770382694	0.00016467399694666948
239	14	7	1	42.65439510345459	4.0	0.0001597337770382694	0.00016467399694666948
240	15	5	7	12.758851051330566	1.0	0.0003198933688770412	0.00032978697822375383
241	15	5	6	28.65743637084961	2.0	0.00015984015984015984	0.0002709155251528133
